event_id,campaign,flight,time,channel,x,y,source
HALO-AC3_RF03_163046,HALO-AC3,RF03,2022-03-13T16:30:46.000000,3,124,148,manual
HALO-AC3_RF03_163046,HALO-AC3,RF03,2022-03-13T16:30:46.000000,3,132,133,manual
HALO-AC3_RF03_163046,HALO-AC3,RF03,2022-03-13T16:30:46.000000,3,148,153,manual
HALO-AC3_RF03_163046,HALO-AC3,RF03,2022-03-13T16:30:46.000000,3,161,193,manual
HALO-AC3_RF03_163046,HALO-AC3,RF03,2022-03-13T16:30:46.000000,3,245,138,manual
HALO-AC3_RF03_163046,HALO-AC3,RF03,2022-03-13T16:30:46.000000,3,251,156,manual
HALO-AC3_RF03_163046,HALO-AC3,RF03,2022-03-13T16:30:46.000000,3,258,179,manual
HALO-AC3_RF03_163046,HALO-AC3,RF03,2022-03-13T16:30:46.000000,3,263,203,manual
HALO-AC3_RF03_163046,HALO-AC3,RF03,2022-03-13T16:30:46.000000,3,270,230,manual
HALO-AC3_RF03_163046,HALO-AC3,RF03,2022-03-13T16:30:46.000000,3,265,242,manual
HALO-AC3_RF03_163046,HALO-AC3,RF03,2022-03-13T16:30:46.000000,3,230,76,manual
HALO-AC3_RF03_163046,HALO-AC3,RF03,2022-03-13T16:30:46.000000,3,49,234,manual
HALO-AC3_RF03_163046,HALO-AC3,RF03,2022-03-13T16:30:46.000000,3,38,238,manual
HALO-AC3_RF03_163046,HALO-AC3,RF03,2022-03-13T16:30:46.000000,3,73,243,manual
HALO-AC3_RF03_163046,HALO-AC3,RF03,2022-03-13T16:30:46.000000,3,329,302,manual
HALO-AC3_RF03_163046,HALO-AC3,RF03,2022-03-13T16:30:46.000000,3,360,317,manual
HALO-AC3_RF03_163046,HALO-AC3,RF03,2022-03-13T16:30:46.000000,3,404,323,manual
HALO-AC3_RF03_163046,HALO-AC3,RF03,2022-03-13T16:30:46.000000,3,455,315,manual
HALO-AC3_RF03_163046,HALO-AC3,RF03,2022-03-13T16:30:46.000000,3,478,329,manual
HALO-AC3_RF03_163046,HALO-AC3,RF03,2022-03-13T16:30:46.000000,3,461,364,manual
HALO-AC3_RF03_163046,HALO-AC3,RF03,2022-03-13T16:30:46.000000,3,437,377,manual
HALO-AC3_RF03_163046,HALO-AC3,RF03,2022-03-13T16:30:46.000000,3,406,384,manual
HALO-AC3_RF03_163046,HALO-AC3,RF03,2022-03-13T16:30:46.000000,3,352,386,manual
HALO-AC3_RF03_163046,HALO-AC3,RF03,2022-03-13T16:30:46.000000,3,333,411,manual
HALO-AC3_RF03_163046,HALO-AC3,RF03,2022-03-13T16:30:46.000000,3,314,423,manual
HALO-AC3_RF03_163046,HALO-AC3,RF03,2022-03-13T16:30:46.000000,3,305,445,manual
HALO-AC3_RF03_163046,HALO-AC3,RF03,2022-03-13T16:30:46.000000,3,263,379,manual
HALO-AC3_RF03_163046,HALO-AC3,RF03,2022-03-13T16:30:46.000000,3,266,409,manual
HALO-AC3_RF03_163046,HALO-AC3,RF03,2022-03-13T16:30:46.000000,3,231,356,manual
HALO-AC3_RF03_163046,HALO-AC3,RF03,2022-03-13T16:30:46.000000,3,208,326,manual
HALO-AC3_RF03_163046,HALO-AC3,RF03,2022-03-13T16:30:46.000000,3,153,270,manual
HALO-AC3_RF03_163046,HALO-AC3,RF03,2022-03-13T16:30:46.000000,3,282,466,manual
HALO-AC3_RF03_163046,HALO-AC3,RF03,2022-03-13T16:30:46.000000,3,388,14,manual
HALO-AC3_RF03_163046,HALO-AC3,RF03,2022-03-13T16:30:46.000000,3,409,35,manual
HALO-AC3_RF03_163046,HALO-AC3,RF03,2022-03-13T16:30:46.000000,3,430,60,manual
HALO-AC3_RF03_163046,HALO-AC3,RF03,2022-03-13T16:30:46.000000,3,449,85,manual
HALO-AC3_RF03_163046,HALO-AC3,RF03,2022-03-13T16:30:46.000000,3,469,108,manual
HALO-AC3_RF03_163046,HALO-AC3,RF03,2022-03-13T16:30:46.000000,3,468,130,manual
HALO-AC3_RF03_163046,HALO-AC3,RF03,2022-03-13T16:30:46.000000,3,400,89,manual
HALO-AC3_RF03_163046,HALO-AC3,RF03,2022-03-13T16:30:46.000000,3,373,61,manual
HALO-AC3_RF03_163046,HALO-AC3,RF03,2022-03-13T16:30:46.000000,3,418,105,manual
HALO-AC3_RF03_163046,HALO-AC3,RF03,2022-03-13T16:30:46.000000,3,439,129,manual
HALO-AC3_RF03_163233,HALO-AC3,RF03,2022-03-13T16:32:33.000000,3,308,211,manual
HALO-AC3_RF03_163233,HALO-AC3,RF03,2022-03-13T16:32:33.000000,3,226,239,manual
HALO-AC3_RF03_163233,HALO-AC3,RF03,2022-03-13T16:32:33.000000,3,170,263,manual
HALO-AC3_RF03_163233,HALO-AC3,RF03,2022-03-13T16:32:33.000000,3,109,239,manual
HALO-AC3_RF03_163233,HALO-AC3,RF03,2022-03-13T16:32:33.000000,3,34,293,manual
HALO-AC3_RF03_163233,HALO-AC3,RF03,2022-03-13T16:32:33.000000,3,14,338,manual
HALO-AC3_RF03_163233,HALO-AC3,RF03,2022-03-13T16:32:33.000000,3,343,297,manual
HALO-AC3_RF03_163233,HALO-AC3,RF03,2022-03-13T16:32:33.000000,3,329,324,manual
HALO-AC3_RF03_163233,HALO-AC3,RF03,2022-03-13T16:32:33.000000,3,352,357,manual
HALO-AC3_RF03_163233,HALO-AC3,RF03,2022-03-13T16:32:33.000000,3,381,369,manual
HALO-AC3_RF03_163233,HALO-AC3,RF03,2022-03-13T16:32:33.000000,3,401,373,manual
HALO-AC3_RF03_163233,HALO-AC3,RF03,2022-03-13T16:32:33.000000,3,425,395,manual
HALO-AC3_RF03_163233,HALO-AC3,RF03,2022-03-13T16:32:33.000000,3,457,379,manual
HALO-AC3_RF03_163233,HALO-AC3,RF03,2022-03-13T16:32:33.000000,3,476,355,manual
HALO-AC3_RF03_163233,HALO-AC3,RF03,2022-03-13T16:32:33.000000,3,506,338,manual
HALO-AC3_RF03_163233,HALO-AC3,RF03,2022-03-13T16:32:33.000000,3,480,300,manual
HALO-AC3_RF03_163233,HALO-AC3,RF03,2022-03-13T16:32:33.000000,3,438,299,manual
HALO-AC3_RF03_163233,HALO-AC3,RF03,2022-03-13T16:32:33.000000,3,413,303,manual
HALO-AC3_RF03_163233,HALO-AC3,RF03,2022-03-13T16:32:33.000000,3,390,290,manual
HALO-AC3_RF03_163233,HALO-AC3,RF03,2022-03-13T16:32:33.000000,3,480,58,manual
HALO-AC3_RF03_163233,HALO-AC3,RF03,2022-03-13T16:32:33.000000,3,493,45,manual
HALO-AC3_RF03_163233,HALO-AC3,RF03,2022-03-13T16:32:33.000000,3,541,34,manual
HALO-AC3_RF03_163233,HALO-AC3,RF03,2022-03-13T16:32:33.000000,3,579,26,manual
